name,type,latitude,longitude,address,businessStatus,estbDate,facilityId,welfacilityId
NS웨딩홀,65 - 집회장,36.19601003,127.0958107,충청남도 논산시 중앙로322번길 21-7,영업,20091214,20155758179,4423010500-1-01550003
엑스큐브빌딩,65 - 집회장,0,0,충청남도 아산시 배방읍 희망로46번길 19-3,영업,20090506,20155758612,4420025331-3-17250000
숲속교육관,65 - 집회장,34.69183333,126.9887978,전라남도 보성군 웅치면 대산길 329-91,영업,20160706,20155761387,4678040023-2-01130021
서영광농협하나로마트,65 - 집회장,35.24189925,126.4535768,전라남도 영광군 군남면 천년로 856,영업,20040806,20155761441,4687035021-1-02930000
국제라이온스협회제주지구,65 - 집회장,33.49383975,126.4990662,제주특별자치도 제주시 연삼로 61,영업,20111217,20155759100,5011013700-1-01770000
정읍사웨딩홀,65 - 집회장,35.55401571,126.8620168,전북특별자치도 정읍시 시기4길 22,영업,19990302,20155759117,4518010400-1-00890001
덕암에너지자립마을센터,65 - 집회장,35.97048849,127.2011054,전북특별자치도 완주군 고산면 남봉로 75,영업,20120504,20155759159,4571036025-1-00060014
집회장,65 - 집회장,36.32797458,126.6025436,충청남도 보령시 남포면 보령남로 195,영업,20140530,20155764897,4418036023-1-05630000
무주 국민체육센터,66 - 체육관,36.00133723,127.6657933,전북특별자치도 무주군 무주읍 최북로 38,영업,20111010,20155751762,4573025022-1-09490006
안성문화체육관,66 - 체육관,35.87145041,127.6486187,전북특별자치도 무주군 안성면 구량천로 93,영업,20140326,20155754224,4573034021-1-16860000
칠량체육센터,66 - 체육관,34.57135154,126.7984695,전라남도 강진군 칠량면 칠량로 86-10,영업,20100323,20155754278,4681032023-1-11370025
전하체육센터,66 - 체육관,35.51200004,129.4221044,울산광역시 동구 봉수로 285,영업,20150914,20155754325,3117010400-1-05590005
산내면종합체육센터,66 - 체육관,35.56811564,127.0291078,전북특별자치도 정읍시 산내면 청정로 1297,영업,20160317,20155754406,4518043025-1-04700001
웰리치파크,66 - 체육관,35.96249561,126.7088196,전북특별자치도 군산시 남수송5길 39,영업,20111019,20155752224,4513014100-1-07010001
남구국민체육센터,66 - 체육관,35.5228397,129.3379616,울산광역시 남구 여천로 38,영업,20190203,20155754766,3114010800-1-02700001
부안스포츠파크,66 - 체육관,0,0,전북특별자치도 부안군 행안면 체육공원길 31,영업,20080523,20155754902,4580033023-1-09330000
묵동 다목적체육관,66 - 체육관,37.61445524,127.0842168,서울특별시 중랑구 숙선옹주로 66,영업,20080817,20155755007,1126010400-1-00230004
중랑문화체육관,66 - 체육관,37.57930039,127.0957709,서울특별시 중랑구 사가정로72길 47,영업,20040424,20155752773,1126010100-1-05190000
체육관,66 - 체육관,34.82911296,126.4206271,전라남도 목포시 영산로 714,영업,20210330,20155755328,4611016000-1-09370011
전북특별자치도 체육회관,66 - 체육관,35.84079537,127.1261855,전북특별자치도 전주시 덕진구 들사평로 62,영업,20091219,20155753031,4511310500-1-12830002
국민체육센터,66 - 체육관,34.62178253,127.2733032,전라남도 고흥군 고흥읍 두원로 175,영업,20130619,20155755612,4677025029-1-06940000
신내공원 다목적체육관,66 - 체육관,37.61125278,127.0894636,서울특별시 중랑구 신내로21길 115-14,영업,20071129,20155755680,1126010600-2-01440002
추부면 마전리 96-53 운동시설 (금산군),66 - 체육관,36.19259243,127.4740999,충청남도 금산군 추부면 하마전로 75,영업,20190814,20155753464,4471039023-1-00960053
필야정,66 - 체육관,35.55916301,126.8355522,전북특별자치도 정읍시 서부산업도로 104,영업,20200625,20155755975,4518010800-1-18040000
금과면생활체육관,66 - 체육관,0,0,전북특별자치도 순창군 금과면 금풍로 1171,영업,20171023,20155756023,4577034035-1-01580002
국민체육센터,66 - 체육관,0,0,충청남도 아산시 모종북로76번길 62,영업,20140721,20155759278,4420011800-1-06770000
한수원사택체육관,66 - 체육관,35.40283891,126.4518513,전라남도 영광군 홍농읍 홍농로 546,영업,20080822,20155762108,4687025621-1-13730007
센트럴  휘트니스,66 - 체육관,35.96869849,126.7272483,전북특별자치도 군산시 미장안길 50-3,영업,20140314,20155759633,4513014200-1-00520105
부천서초등학교 체육관동,67 - 초등학교,37.48765072,126.7656988,경기도 부천시 부일로330번길 30,영업,20210430,20155894709,4119010800-1-08150000
운중초등학교,67 - 초등학교,37.39251914,127.068927,경기도 성남시 분당구 운중로45번길 8,영업,20080328,20155894725,4113511500-1-08930000
